Inference for Stan model: anon_model_bc96f3f32db6b63e3e6830908631d52a.
1 chains, each with iter=2000; warmup=1000; thin=1; 
post-warmup draws per chain=1000, total post-warmup draws=1000.

           mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
X[0,0]     8.36  4.4e-3   0.14   8.09   8.28   8.35   8.42   8.62   1000    1.0
X[1,0]    16.68  4.2e-3   0.13  16.39  16.61  16.68  16.75  16.95   1000    1.0
X[2,0]     25.0  4.0e-3   0.13  24.73  24.93   25.0  25.07  25.25   1000    1.0
X[3,0]    33.35  4.1e-3   0.13  33.08  33.27  33.35  33.41  33.62   1000    1.0
X[4,0]    41.65  4.1e-3   0.13  41.38  41.58  41.65  41.72   41.9   1000    1.0
X[5,0]    49.99  4.3e-3   0.14  49.71  49.92   50.0  50.07  50.26   1000    1.0
X[6,0]    58.32  4.3e-3   0.14  58.01  58.25  58.32  58.39  58.58   1000    1.0
X[7,0]    66.67  4.6e-3   0.15  66.38   66.6  66.67  66.74  66.96   1000    1.0
X[8,0]    75.02  4.8e-3   0.15  74.72  74.95  75.02  75.09  75.28   1000    1.0
X[9,0]    83.35  4.5e-3   0.14  83.06  83.28  83.35  83.42  83.65   1000    1.0
X[10,0]   91.67  4.1e-3   0.13  91.41   91.6  91.68  91.75  91.93   1000    1.0
X[11,0]   99.99  4.4e-3   0.14  99.65  99.92  99.98 100.06 100.25   1000    1.0
X[12,0]  108.33  4.3e-3   0.14 108.03 108.26 108.33  108.4 108.61   1000    1.0
X[13,0]  116.68  3.9e-3   0.12 116.43 116.62 116.68 116.75 116.92   1000    1.0
X[14,0]  124.98  4.3e-3   0.14  124.7 124.91 124.98 125.05 125.23   1000    1.0
X[15,0]  133.33  4.7e-3   0.15 133.02 133.26 133.32 133.39 133.65   1000    1.0
X[16,0]  141.66  4.1e-3   0.13 141.37 141.59 141.66 141.73 141.92   1000    1.0
X[17,0]   150.0  3.9e-3   0.12 149.76 149.93  150.0 150.07 150.25   1000    1.0
X[18,0]  158.35  3.7e-3   0.12 158.12 158.28 158.34 158.41 158.61   1000    1.0
X[19,0]  166.67  4.0e-3   0.13 166.43  166.6 166.67 166.74 166.91   1000    1.0
X[20,0]  174.99  4.2e-3   0.13 174.69 174.92 174.99 175.06 175.29   1000    1.0
X[21,0]  183.31  4.2e-3   0.13 183.04 183.24 183.31 183.39 183.58   1000    1.0
X[22,0]  191.68  4.3e-3   0.13 191.39 191.62 191.68 191.76 191.98   1000    1.0
X[23,0]  199.99  4.0e-3   0.13 199.73 199.91 199.98 200.05 200.26   1000    1.0
X[24,0]  208.33  4.0e-3   0.13 208.08 208.26 208.33  208.4 208.58   1000    1.0
X[25,0]  216.66  3.9e-3   0.12 216.41 216.59 216.66 216.73 216.94   1000    1.0
X[26,0]   225.0  4.5e-3   0.14  224.7 224.93  225.0 225.07 225.27   1000    1.0
X[27,0]  233.32  4.2e-3   0.13 233.06 233.25 233.32  233.4 233.59   1000    1.0
X[28,0]  241.66  4.1e-3   0.13 241.39 241.59 241.66 241.73 241.93   1000    1.0
X[29,0]  249.99  4.3e-3   0.14  249.7 249.92 249.99 250.07 250.25   1000    1.0
X[30,0]  258.34  4.4e-3   0.14 258.04 258.27 258.34 258.41 258.64   1000    1.0
X[31,0]  266.68  4.5e-3   0.14 266.38 266.61 266.68 266.76 266.96   1000    1.0
X[32,0]   275.0  3.6e-3   0.11 274.77 274.94  275.0 275.07 275.24   1000    1.0
X[33,0]  283.33  4.0e-3   0.13 283.09 283.26 283.33  283.4 283.57   1000    1.0
X[34,0]  291.66  4.1e-3   0.13 291.41 291.58 291.66 291.73 291.91   1000    1.0
X[35,0]  300.01  4.0e-3   0.12 299.73 299.94 300.01 300.08 300.28   1000    1.0
X[36,0]  308.34  4.1e-3   0.13 308.09 308.27 308.34 308.41 308.61   1000    1.0
X[37,0]  316.66  4.2e-3   0.13 316.37  316.6 316.66 316.72 316.96   1000    1.0
X[38,0]   325.0  3.9e-3   0.12 324.75 324.93  325.0 325.07 325.24   1000    1.0
X[39,0]  333.32  4.1e-3   0.13 333.05 333.25 333.32 333.39 333.59   1000    1.0
X[40,0]  341.67  4.3e-3   0.14 341.36  341.6 341.67 341.74 341.97   1000    1.0
X[41,0]   350.0  4.5e-3   0.14  349.7 349.94  350.0 350.07 350.32   1000    1.0
X[42,0]  358.33  4.1e-3   0.13 358.06 358.26 358.33  358.4 358.58   1000    1.0
X[43,0]  366.68  4.6e-3   0.15 366.37  366.6 366.68 366.75 366.99   1000    1.0
X[44,0]   375.0  4.1e-3   0.13 374.72 374.93  375.0 375.07 375.27   1000    1.0
X[45,0]  383.34  4.2e-3   0.13 383.06 383.27 383.34 383.41 383.65   1000    1.0
X[46,0]  391.66  4.5e-3   0.14 391.37 391.58 391.66 391.73 391.98   1000    1.0
X[47,0]  399.99  4.5e-3   0.14 399.69 399.92  400.0 400.07 400.26   1000    1.0
X[48,0]  408.33  4.5e-3   0.14 408.02 408.26 408.33  408.4 408.62   1000    1.0
X[49,0]  416.68  4.0e-3   0.13 416.41 416.61 416.67 416.76 416.94   1000    1.0
X[50,0]  424.99  4.7e-3   0.15 424.68 424.92 424.99 425.06 425.28   1000    1.0
X[51,0]  433.34  4.1e-3   0.13 433.09 433.26 433.33 433.41  433.6   1000    1.0
X[52,0]  441.65  4.1e-3   0.13 441.35 441.58 441.66 441.73 441.93   1000    1.0
X[53,0]   450.0  4.0e-3   0.13 449.76 449.93  450.0 450.07 450.26   1000    1.0
X[54,0]  458.33  3.8e-3   0.12 458.07 458.27 458.33  458.4 458.57   1000    1.0
X[55,0]  466.66  4.3e-3   0.14 466.39 466.59 466.66 466.73 466.96   1000    1.0
X[56,0]  475.01  4.1e-3   0.13 474.76 474.94 475.01 475.07 475.28   1000    1.0
X[57,0]  483.32  4.0e-3   0.13 483.06 483.25 483.31 483.38 483.59   1000    1.0
X[58,0]  491.66  4.3e-3   0.14 491.39 491.59 491.66 491.74 491.96   1000    1.0
X[59,0]  500.01  4.2e-3   0.13 499.72 499.95 500.01 500.08 500.31   1000    1.0
X[60,0]  508.32  4.5e-3   0.14 508.01 508.26 508.33  508.4 508.62   1000    1.0
X[61,0]  516.67  4.4e-3   0.14 516.39 516.59 516.67 516.74 516.95   1000    1.0
X[62,0]  524.99  4.0e-3   0.13 524.73 524.92 524.99 525.06 525.23   1000    1.0
X[63,0]  533.34  4.1e-3   0.13 533.08 533.27 533.34 533.41 533.61   1000    1.0
X[64,0]  541.67  4.0e-3   0.13  541.4  541.6 541.67 541.74 541.92   1000    1.0
X[65,0]  550.01  4.3e-3   0.14 549.72 549.93 550.01 550.08 550.26   1000    1.0
X[66,0]  558.32  4.0e-3   0.13 558.06 558.25 558.32  558.4 558.57   1000    1.0
X[67,0]  566.66  4.2e-3   0.13 566.38 566.59 566.67 566.74 566.94   1000    1.0
X[68,0]  575.02  4.1e-3   0.13 574.77 574.95 575.01 575.08 575.29   1000    1.0
X[69,0]  583.34  4.1e-3   0.13 583.07 583.27 583.34 583.41 583.61   1000    1.0
X[70,0]  591.67  4.6e-3   0.14 591.39  591.6 591.66 591.72 591.97   1000    1.0
X[71,0]   600.0  3.9e-3   0.12 599.76 599.92  600.0 600.07 600.27   1000    1.0
X[72,0]  608.33  4.2e-3   0.13 608.05 608.26 608.33  608.4 608.59   1000    1.0
X[73,0]  616.66  4.3e-3   0.14 616.37  616.6 616.67 616.73 616.94   1000    1.0
X[74,0]  625.01  4.5e-3   0.14 624.72 624.94 625.02 625.09 625.31   1000    1.0
X[75,0]  633.33  4.0e-3   0.13 633.08 633.26 633.33  633.4 633.58   1000    1.0
X[76,0]  641.66  5.0e-3   0.14 641.37 641.59 641.66 641.74 641.96    816    1.0
X[77,0]  649.98  4.8e-3   0.15 649.68 649.91 649.99 650.06 650.29   1000    1.0
X[78,0]  658.33  4.1e-3   0.13 658.08 658.26 658.33  658.4 658.61   1000    1.0
X[79,0]  666.68  4.0e-3   0.13 666.46 666.61 666.68 666.75 666.93   1000    1.0
X[80,0]  674.99  3.9e-3   0.12 674.73 674.93 674.99 675.07 675.22   1000    1.0
X[81,0]  683.33  3.9e-3   0.12 683.07 683.26 683.32 683.39 683.61   1000    1.0
X[82,0]  691.67  3.9e-3   0.12 691.39 691.61 691.67 691.74 691.92   1000    1.0
X[83,0]  700.01  4.2e-3   0.13  699.7 699.94 700.01 700.08 700.28   1000    1.0
X[84,0]  708.32  4.1e-3   0.13 708.05 708.26 708.32 708.39 708.59   1000    1.0
X[85,0]  716.68  4.2e-3   0.13  716.4  716.6 716.67 716.74 716.99   1000    1.0
X[86,0]   725.0  4.2e-3   0.13 724.73 724.93 725.01 725.08 725.26   1000    1.0
X[87,0]  733.33  4.2e-3   0.13 733.03 733.26 733.33 733.39 733.59   1000    1.0
X[88,0]  741.69  4.5e-3   0.14 741.38 741.61 741.69 741.77  742.0   1000    1.0
X[89,0]   750.0  4.4e-3   0.14 749.75 749.93  750.0 750.08 750.28   1000    1.0
X[90,0]  758.36  4.1e-3   0.13 758.12 758.28 758.36 758.43 758.63   1000    1.0
X[91,0]  766.67  4.1e-3   0.13 766.37  766.6 766.67 766.74 766.94   1000    1.0
X[92,0]  775.01  4.1e-3   0.13 774.71 774.94 775.01 775.08 775.25   1000    1.0
X[93,0]  783.33  4.5e-3   0.14 783.05 783.25 783.33 783.41  783.6   1000    1.0
X[94,0]  791.67  4.0e-3   0.13 791.42  791.6 791.67 791.74 791.92   1000    1.0
X[95,0]   800.0  4.2e-3   0.13 799.74 799.93  800.0 800.07 800.27   1000    1.0
X[96,0]  808.35  4.7e-3   0.15 808.02 808.27 808.35 808.42 808.65   1000    1.0
X[97,0]  816.66  4.1e-3   0.13 816.37 816.59 816.66 816.73 816.93   1000    1.0
X[98,0]  824.99  4.0e-3   0.13 824.76 824.92 824.99 825.06 825.25   1000    1.0
X[99,0]  833.33  4.1e-3   0.13 833.06 833.26 833.33  833.4  833.6   1000    1.0
X[100,0] 841.65  4.6e-3   0.14 841.38 841.58 841.65 841.73 841.95   1000    1.0
X[101,0] 849.99  4.3e-3   0.13 849.69 849.93  850.0 850.06 850.23   1000    1.0
X[102,0] 858.35  4.7e-3   0.15 858.01 858.28 858.36 858.43 858.66   1000    1.0
X[103,0] 866.66  4.4e-3   0.14 866.39 866.58 866.66 866.73 866.92   1000    1.0
X[104,0] 874.99  4.1e-3   0.13 874.74 874.92 874.99 875.06 875.24   1000    1.0
X[105,0] 883.33  4.1e-3   0.13 883.09 883.25 883.33 883.41 883.59   1000    1.0
X[106,0] 891.68  4.3e-3   0.14 891.41  891.6 891.67 891.75 891.97   1000    1.0
X[107,0] 899.99  4.1e-3   0.13 899.73 899.91 899.99 900.06 900.25   1000    1.0
X[108,0] 908.34  3.9e-3   0.12 908.12 908.26 908.33  908.4 908.58   1000    1.0
X[109,0] 916.67  4.0e-3   0.13  916.4 916.61 916.67 916.73 916.92   1000    1.0
X[110,0]  925.0  4.1e-3   0.13 924.74 924.93  925.0 925.07 925.29   1000    1.0
X[111,0] 933.33  3.9e-3   0.12 933.06 933.27 933.33  933.4 933.57   1000    1.0
X[112,0] 941.64  4.2e-3   0.13 941.34 941.57 941.64 941.71 941.92   1000    1.0
X[113,0] 949.98  4.1e-3   0.13 949.73 949.92 949.98 950.05 950.24   1000    1.0
X[114,0] 958.33  4.6e-3   0.15 958.02 958.26 958.34 958.41 958.64   1000    1.0
X[115,0] 966.66  4.1e-3   0.13 966.38  966.6 966.66 966.73 966.93   1000    1.0
X[116,0] 974.98  4.2e-3   0.13 974.71 974.91 974.98 975.05 975.25   1000    1.0
X[117,0] 983.34  4.6e-3   0.13 983.07 983.27 983.33  983.4 983.62    783    1.0
X[118,0] 991.67  5.7e-3   0.14 991.38 991.59 991.67 991.74 991.95    585    1.0
X[119,0] 999.98  4.1e-3   0.13 999.72 999.91 999.98 1000.0 1000.2   1000    1.0
X[120,0] 1008.3  4.1e-3   0.13 1008.0 1008.2 1008.3 1008.3 1008.6   1000    1.0
X[121,0] 1016.6  4.0e-3   0.13 1016.4 1016.6 1016.6 1016.7 1016.9   1000    1.0
X[122,0] 1025.0  4.0e-3   0.13 1024.7 1024.9 1025.0 1025.0 1025.3   1000    1.0
X[123,0] 1033.3  4.3e-3   0.14 1033.0 1033.2 1033.3 1033.4 1033.6   1000    1.0
X[124,0] 1041.6  4.5e-3   0.14 1041.4 1041.6 1041.6 1041.7 1041.9   1000    1.0
X[125,0] 1050.0  3.9e-3   0.12 1049.7 1049.9 1050.0 1050.0 1050.2   1000    1.0
X[126,0] 1058.3  4.1e-3   0.13 1058.0 1058.2 1058.3 1058.4 1058.6   1000    1.0
X[127,0] 1066.6  4.5e-3   0.14 1066.4 1066.5 1066.6 1066.7 1066.9   1000    1.0
X[128,0] 1075.0  3.9e-3   0.12 1074.7 1074.9 1075.0 1075.0 1075.2   1000    1.0
X[129,0] 1083.3  3.9e-3   0.12 1083.0 1083.2 1083.3 1083.4 1083.5   1000    1.0
X[130,0] 1091.6  4.0e-3   0.13 1091.4 1091.6 1091.6 1091.7 1091.9   1000    1.0
X[131,0] 1099.9  4.1e-3   0.13 1099.7 1099.9 1099.9 1100.0 1100.2   1000    1.0
X[132,0] 1108.3  4.1e-3   0.13 1108.0 1108.2 1108.3 1108.3 1108.5   1000    1.0
X[133,0] 1116.6  3.9e-3   0.12 1116.4 1116.5 1116.6 1116.7 1116.9   1000    1.0
X[134,0] 1124.9  4.2e-3   0.13 1124.7 1124.9 1124.9 1125.0 1125.2   1000    1.0
X[135,0] 1133.3  4.2e-3   0.13 1133.0 1133.2 1133.3 1133.4 1133.6   1000    1.0
X[136,0] 1141.6  4.3e-3   0.13 1141.3 1141.6 1141.6 1141.7 1141.9   1000    1.0
X[137,0] 1149.9  4.1e-3   0.13 1149.7 1149.9 1149.9 1150.0 1150.2   1000    1.0
X[138,0] 1158.3  4.3e-3   0.14 1158.0 1158.2 1158.3 1158.4 1158.6   1000    1.0
X[139,0] 1166.6  4.8e-3   0.15 1166.4 1166.6 1166.6 1166.7 1166.9   1000    1.0
X[140,0] 1175.0  4.0e-3   0.13 1174.7 1174.9 1175.0 1175.0 1175.2   1000    1.0
X[141,0] 1183.3  4.3e-3   0.14 1183.0 1183.2 1183.3 1183.4 1183.6   1000    1.0
X[142,0] 1191.6  4.0e-3   0.12 1191.4 1191.6 1191.6 1191.7 1191.9   1000    1.0
X[143,0] 1200.0  3.9e-3   0.12 1199.7 1199.9 1200.0 1200.0 1200.2   1000    1.0
X[144,0] 1208.3  4.3e-3   0.13 1208.0 1208.2 1208.3 1208.4 1208.6   1000    1.0
X[145,0] 1216.6  4.7e-3   0.15 1216.3 1216.5 1216.6 1216.7 1216.9   1000    1.0
X[146,0] 1225.0  4.3e-3   0.14 1224.7 1224.9 1225.0 1225.0 1225.3   1000    1.0
X[147,0] 1233.3  4.4e-3   0.14 1233.0 1233.2 1233.3 1233.4 1233.5   1000    1.0
X[148,0] 1241.6  4.1e-3   0.13 1241.4 1241.6 1241.6 1241.7 1241.9   1000    1.0
X[149,0] 1249.9  4.3e-3   0.14 1249.7 1249.9 1249.9 1250.0 1250.2   1000    1.0
X[150,0] 1258.3  4.4e-3   0.14 1258.0 1258.2 1258.3 1258.4 1258.5   1000    1.0
X[151,0] 1266.6  4.2e-3   0.13 1266.4 1266.5 1266.6 1266.7 1266.9   1000    1.0
X[152,0] 1275.0  3.9e-3   0.12 1274.7 1274.9 1275.0 1275.0 1275.2   1000    1.0
